timestamp,soil_moisture,temperature,humidity,hour,dry_rate,previous_irrigation,pump_runtime,fan_state
2026-03-12 22:25:36.894617,29.8,,,22,0,4,4,0
2026-03-12 22:26:40.220188,29.8,,,22,0,4,4,0
2026-03-12 22:30:45.863543,30.98,,,22,0,4,4,0
2026-03-12 22:31:07.915359,40.39,,,22,-9.41,0,0,0
2026-03-12 22:31:30.923115,37.65,,,22,2.740000000000002,0,0,0
2026-03-12 22:31:48.929054,36.86,,,22,0.7899999999999991,0,0,0
2026-03-12 22:32:10.113778,36.08,,,22,0.7800000000000011,0,0,0
2026-03-12 22:32:28.146508,36.08,,,22,0.0,0,0,0
2026-03-12 22:32:49.196613,35.29,,,22,0.7899999999999991,0,0,0
2026-03-12 22:35:48.222447,33.33,0.7,0,22,0,0,0,0
2026-03-12 22:36:07.278435,33.33,30.6,44,22,0.0,0,0,0
2026-03-12 22:36:43.303822,33.73,30.3,44,22,0,4,4,0
2026-03-12 22:37:04.687957,32.94,30.1,44,22,0.7899999999999991,4,4,0
2026-03-12 22:37:28.023041,34.9,30.9,44,22,-1.9600000000000009,4,4,0
2026-03-12 22:38:24.533305,33.33,30.8,44,22,0,0,0,0
2026-03-12 22:38:40.758195,33.33,30.8,44,22,0.0,0,0,0
2026-03-12 22:39:01.005526,32.94,30.1,44,22,0.39000000000000057,0,0,0
2026-03-12 22:39:22.263558,33.73,30.2,44,22,-0.7899999999999991,0,0,0
2026-03-12 22:39:38.281726,32.94,30.9,44,22,0.7899999999999991,0,0,0
2026-03-12 22:39:57.292074,32.55,30.1,44,22,0.39000000000000057,0,0,0
2026-03-12 22:40:13.481942,32.55,30.2,44,22,0.0,0,0,0
2026-03-12 22:40:29.693640,32.16,30.6,44,22,0.39000000000000057,0,0,0
2026-03-12 22:40:48.978998,31.76,30.7,44,22,0.399999999999995,0,0,0
2026-03-12 22:41:08.281124,31.76,30.2,44,22,0.0,0,0,0
2026-03-12 22:41:24.503035,31.76,30.2,44,22,0.0,0,0,0
2026-03-12 22:41:43.718617,31.37,30.5,44,22,0.39000000000000057,0,0,0
2026-03-12 22:41:59.913009,31.37,30.8,44,22,0.0,0,0,0
2026-03-12 22:42:19.453888,31.37,31.9,43,22,0.0,0,0,0
2026-03-12 22:42:38.714219,31.76,31.1,43,22,-0.39000000000000057,0,0,0
2026-03-12 22:42:54.878672,31.37,30.9,44,22,0.39000000000000057,0,0,0
2026-03-12 22:43:14.138311,31.37,30.7,44,22,0.0,0,0,0
2026-03-12 22:43:33.212374,31.37,30.6,44,22,0.0,0,0,0
2026-03-12 22:43:49.394417,31.37,30.0,44,22,0.0,0,0,0
2026-03-12 22:44:05.585100,31.37,30.6,44,22,0.0,0,0,0
2026-03-12 22:44:21.767815,30.98,30.8,44,22,0.39000000000000057,0,0,0
2026-03-12 22:44:41.075503,30.98,30.0,44,22,0.0,0,0,0
2026-03-12 22:45:00.318393,30.98,30.6,44,22,0.0,0,0,0
2026-03-12 22:45:16.505946,30.98,30.9,44,22,0.0,0,0,0
2026-03-12 22:45:32.487030,30.59,30.2,44,22,0.39000000000000057,0,0,0
2026-03-12 22:45:49.913929,30.59,30.4,44,22,0.0,0,0,0
2026-03-12 22:46:09.129934,30.59,30.3,44,22,0.0,0,0,0
2026-03-12 22:46:25.377315,30.59,30.1,44,22,0.0,0,0,0
2026-03-12 22:46:44.665082,29.41,30.7,44,22,1.1799999999999997,4,4,0
2026-03-12 22:47:07.916357,30.59,30.9,44,22,-1.1799999999999997,0,0,0
2026-03-12 22:47:26.987639,32.55,30.3,44,22,-1.9599999999999973,0,0,0
2026-03-12 22:47:46.316401,33.73,30.1,44,22,-1.1799999999999997,0,0,0
2026-03-12 22:48:05.395890,33.33,30.7,44,22,0.3999999999999986,0,0,0
2026-03-12 22:48:21.602855,33.33,30.9,44,22,0.0,0,0,0
2026-03-12 22:48:37.789571,33.33,30.4,44,22,0.0,0,0,0
2026-03-12 22:48:53.770108,32.94,30.8,44,22,0.39000000000000057,0,0,0
2026-03-12 22:49:12.875967,32.94,30.1,44,22,0.0,0,0,0
2026-03-12 22:49:30.814310,32.55,30.0,44,22,0,0,0,0
2026-03-12 22:49:55.143963,32.55,30.8,44,22,0.0,0,0,0
2026-03-12 22:50:11.356810,32.55,30.1,44,22,0.0,0,0,0
2026-03-12 22:50:31.607866,32.16,30.7,44,22,0.39000000000000057,0,0,0
2026-03-12 22:50:50.930838,32.16,30.9,44,22,0.0,0,0,0
2026-03-12 22:51:07.126600,32.16,30.3,44,22,0.0,0,0,0
2026-03-12 23:01:00.802261,30.98,30.8,44,23,0,0,0,0
2026-03-12 23:01:17.490744,30.98,30.5,44,23,0.0,0,0,0
2026-03-12 23:01:33.919761,30.98,30.7,44,23,0.0,0,0,0
2026-03-12 23:01:50.247668,30.98,30.3,44,23,0.0,0,0,0
2026-03-12 23:02:06.577224,30.98,30.1,44,23,0.0,0,0,0
2026-03-12 23:02:22.906980,30.59,30.3,44,23,0.39000000000000057,0,0,0
2026-03-12 23:02:39.210574,30.59,30.7,44,23,0.0,0,0,0
2026-03-12 23:02:55.521209,30.59,30.1,44,23,0.0,0,0,0
2026-03-12 23:03:11.821376,29.8,30.4,44,23,0.7899999999999991,0,0,0
2026-03-12 23:03:28.154076,31.37,30.8,44,23,-1.5700000000000003,0,0,0
2026-03-12 23:03:44.448917,30.98,30.6,44,23,0.39000000000000057,0,0,0
2026-03-12 23:04:00.812001,30.59,30.6,44,23,0.39000000000000057,0,0,0
2026-03-12 23:04:17.146313,30.59,30.1,44,23,0.0,0,0,0
2026-03-12 23:04:33.418976,30.59,30.3,44,23,0.0,0,0,0
2026-03-12 23:04:49.770623,30.2,30.2,44,23,0.39000000000000057,0,0,0
2026-03-12 23:05:06.730497,30.2,30.0,44,23,0.0,0,0,0
2026-03-12 23:05:23.052128,30.2,30.1,44,23,0.0,0,0,0
2026-03-12 23:05:39.370181,29.8,30.8,44,23,0.3999999999999986,0,0,0
2026-03-12 23:05:55.667525,29.8,30.7,44,23,0.0,0,0,0
2026-03-12 23:06:12.011136,29.8,30.9,44,23,0.0,0,0,0
2026-03-12 23:06:28.977554,30.2,30.8,44,23,-0.3999999999999986,0,0,0
2026-03-12 23:06:45.297408,29.8,30.1,44,23,0.3999999999999986,0,0,0
2026-03-12 23:07:01.912729,29.8,30.3,44,23,0.0,0,0,0
2026-03-12 23:07:18.330857,29.8,30.7,44,23,0.0,0,0,0
2026-03-12 23:07:34.577148,29.41,30.9,44,23,0.39000000000000057,0,0,0
2026-03-12 23:07:50.897805,29.8,30.7,44,23,-0.39000000000000057,0,0,0
2026-03-12 23:08:07.217861,29.8,30.9,44,23,0.0,0,0,0
2026-03-12 23:08:23.536280,29.41,30.0,44,23,0.39000000000000057,0,0,0
2026-03-12 23:08:39.852329,29.41,30.8,44,23,0.0,0,0,0
2026-03-12 23:08:56.155365,29.8,30.0,44,23,-0.39000000000000057,0,0,0
2026-03-12 23:09:12.496668,29.41,30.3,44,23,0.39000000000000057,0,0,0
2026-03-12 23:09:28.805978,29.8,30.0,44,23,-0.39000000000000057,0,0,0
2026-03-12 23:09:45.119240,29.8,30.0,44,23,0.0,0,0,0
2026-03-12 23:10:01.324319,29.8,30.8,44,23,0.0,0,0,0
2026-03-12 23:10:17.567488,30.2,30.4,44,23,-0.3999999999999986,0,0,0
2026-03-12 23:10:33.771073,29.8,30.1,44,23,0.3999999999999986,0,0,0
2026-03-12 23:10:50.057702,29.8,30.9,44,23,0.0,0,0,0
2026-03-12 23:11:06.720667,30.2,30.8,44,23,-0.3999999999999986,0,0,0
2026-03-12 23:11:23.030462,29.8,30.4,44,23,0.3999999999999986,0,0,0
2026-03-12 23:11:39.993791,29.8,30.8,44,23,0.0,0,0,0
2026-03-12 23:11:56.320340,29.02,30.1,44,23,0.7800000000000011,0,0,0
2026-03-12 23:12:12.652384,29.8,30.6,44,23,-0.7800000000000011,0,0,0
2026-03-12 23:12:28.960305,29.8,30.3,44,23,0.0,0,0,0
2026-03-12 23:12:45.278301,29.8,30.7,44,23,0.0,0,0,0
